日期,上傳此GPX用戶,總距離水平(km),總爬升高度(m),總下降高度(m),總花費時間(HH:MM:SS),起始到折返點時間(HH:MM:SS),折返到結束時間(HH:MM:SS),上山水平速度(km/h),上山垂直速度(m/h),下山水平速度(km/h),下山垂直速度(m/h),全程平均水平速度(km/h),全程平均垂直速度(m/h),最高海拔(m),最低海拔(m)
2023-04-29,no.139,12.1,1761,1766,08:38:40,05:31:23,03:07:17,1.12,288.7,1.9,505.2,1.4,203.7,3300,1880
2023-04-29,no.140,15.59,3235,3150,11:39:14,05:49:20,05:49:54,1.4,394.8,1.27,393.7,1.34,277.6,3329,1883
2023-03-28,no.141,11.13,2099,2088,11:37:47,06:46:49,04:50:58,0.82,261.6,1.15,359.0,0.96,180.5,3308,1871
2023-03-28,no.142,11.13,2099,2088,11:37:47,06:46:49,04:50:58,0.82,261.6,1.15,359.0,0.96,180.5,3308,1871
2023-02-18,no.143,12.46,2226,2216,07:57:15,04:55:33,03:01:42,1.32,395.1,1.97,561.0,1.57,280.0,3327,1885
2022-12-09,no.144,15.55,2370,2377,09:09:14,05:47:35,03:21:39,1.5,351.8,2.04,524.0,1.7,259.0,3322,1885
2022-11-26,no.145,10.47,1653,1644,10:52:31,05:51:00,05:01:31,0.66,215.1,1.31,287.7,0.96,152.0,2973,1905
2022-11-26,no.146,14.02,3044,2952,09:00:19,05:19:43,03:40:36,1.43,417.5,1.73,585.4,1.56,338.0,3321,1885
2022-11-21,no.147,14.63,3206,3130,10:18:11,05:31:25,04:46:46,1.4,441.6,1.44,446.0,1.42,311.2,3335,1884
2022-11-18,no.148,18.05,3341,3341,12:30:49,06:04:08,06:26:41,0.97,285.1,1.88,468.0,1.44,267.0,3310,1872
2024-12-07,no.149,9.45,1834,1835,09:27:44,05:27:06,04:00:38,0.98,328.6,1.02,365.0,1.0,193.9,3313,1871
2022-11-05,no.150,16.62,3058,3062,10:18:38,05:38:08,04:40:30,1.54,408.9,1.7,471.8,1.61,296.6,3346,1886
2022-10-29,no.151,14.97,2232,2242,09:13:42,05:13:24,04:00:18,1.51,361.5,1.78,441.1,1.62,241.9,3314,1888
2022-10-02,no.152,18.63,2910,2922,10:42:33,07:00:55,03:41:38,1.41,325.6,2.37,558.6,1.74,271.8,3334,1886
2022-08-20,no.153,8.65,2192,761,06:34:57,06:26:55,00:08:02,1.33,336.2,0.37,206.1,1.31,333.1,3334,1886
2022-08-19,no.154,18.61,3211,3216,12:10:39,07:38:32,04:32:07,1.29,307.5,1.93,506.0,1.53,263.8,3330,1879
2022-07-29,no.155,5.59,1909,492,04:50:06,04:27:47,00:22:19,1.25,427.7,0.07,10.8,1.16,394.8,3310,1872
2022-07-23,no.156,16.17,2180,2170,10:05:43,06:03:44,04:01:59,1.45,308.2,1.83,428.0,1.6,216.0,3316,1886
2022-06-25,no.157,15.23,6702,6648,10:09:38,06:49:17,03:20:21,1.4,774.7,1.7,822.2,1.5,659.7,3291,1890
2022-06-20,no.158,19.94,3201,3394,13:44:38,06:24:49,07:19:49,1.14,390.9,1.73,314.9,1.45,232.9,3310,1696
2022-06-18,no.159,12.21,2128,2102,10:20:49,05:30:28,04:50:21,1.28,340.7,1.06,329.8,1.18,205.7,3322,1952
2024-10-20,no.160,15.12,2870,2866,09:02:46,04:41:15,04:21:31,1.64,424.6,1.7,532.4,1.67,317.3,3345,1900
2022-06-02,no.161,19.2,7114,7112,12:40:12,05:44:09,06:56:03,1.29,633.0,1.7,732.5,1.52,561.5,3491,1874
2022-04-21,no.162,25.89,5046,5048,14:37:21,06:07:24,08:29:57,1.61,424.4,1.89,455.9,1.77,345.1,3320,1885
2022-04-15,no.163,18.61,3837,3832,13:51:26,04:44:14,09:07:12,1.59,452.3,1.22,342.1,1.34,277.0,3332,1887
2022-04-10,no.164,13.72,3663,3662,05:21:09,03:02:35,02:18:34,2.24,886.9,2.99,1039.2,2.56,684.3,3330,1877
2022-04-07,no.165,11.45,2150,2177,11:30:17,06:48:24,04:41:53,0.86,264.2,1.19,379.7,0.99,186.9,3310,1872
